time,WELL_40_1_1250,WELL_55_1_1250,WELL_70_1_1250,WELL_85_1_1250,WELL_25_1_1800,WELL_40_1_1800,WELL_55_1_1800,WELL_70_1_1800,WELL_85_1_1800
1460.000000000,0.24334-121,0.28931-120,-0.73247-121,-0.44677-121,0.41606E-81,0.16175E-81,0.38671E-82,0.28127E-82,0.18208E-82
2920.000000000,-0.38813E-22,-0.28206E-25,-0.50944E-27,-0.12190E-28,-0.44545E-18,-0.55070E-18,-0.26245E-18,-0.96367E-19,-0.88931E-19
4380.000000000,-0.75404E-08,-0.32686E-06,-0.29235E-06,-0.11596E-06,-0.11810E-04,-0.68881E-05,0.58107E-05,-0.34138E-05,-0.95361E-06
5840.000000000,-0.56820E-07,-0.23635E-06,-0.27907E-06,-0.15339E-06,0.39200E-06,-0.15872E-03,-0.12376E-03,0.44795E-04,-0.24874E-05
7300.000000000,-0.99893E-08,0.12060E-07,0.42642E-07,0.55469E-07,0.64656E-04,0.38909E-04,0.44420E-04,0.58557E-04,0.50719E-04
8760.000000000,0.20183E-07,0.19097E-06,0.64464E-06,0.82911E-06,0.52117E-03,0.46846E-03,0.43989E-03,0.42958E-03,0.41887E-03
10220.00000000,0.16290E-06,0.15379E-05,0.51669E-05,0.66314E-05,0.26157E-02,0.24448E-02,0.20962E-02,0.22346E-02,0.22007E-02
11680.00000000,0.99561E-06,0.93071E-05,0.31081E-04,0.39739E-04,0.10242E-01,0.99078E-02,0.92646E-02,0.93636E-02,0.93453E-02
13140.00000000,0.45086E-05,0.41948E-04,0.13930E-03,0.17751E-03,0.30769E-01,0.29926E-01,0.28323E-01,0.29248E-01,0.29244E-01
14600.00000000,0.15326E-04,0.14198E-03,0.46856E-03,0.59482E-03,0.72763E-01,0.70810E-01,0.67142E-01,0.69128E-01,0.69228E-01
16060.00000000,0.42768E-04,0.39354E-03,0.12913E-02,0.16341E-02,0.14437,0.14106,0.13570,0.14115,0.14202
17520.00000000,0.10189E-03,0.93111E-03,0.30420E-02,0.38367E-02,0.25144,0.24613,0.23822,0.24743,0.24923
18980.00000000,0.20708E-03,0.18978E-02,0.61800E-02,0.77816E-02,0.39785,0.39075,0.38078,0.39697,0.40041
20440.00000000,0.38968E-03,0.35432E-02,0.11481E-01,0.14447E-01,0.58007,0.57206,0.56251,0.58759,0.59381
21900.00000000,0.66003E-03,0.60140E-02,0.19426E-01,0.24485E-01,0.78898,0.78039,0.77366,0.80901,0.81782
23360.00000000,0.10434E-02,0.94990E-02,0.30515E-01,0.38601E-01,1.0097,1.0022,1.0009,1.0490,1.0620
24820.00000000,0.15640E-02,0.14176E-01,0.45163E-01,0.57460E-01,1.2292,1.2247,1.2307,1.2890,1.3052
26280.00000000,0.21718E-02,0.19755E-01,0.62514E-01,0.80254E-01,1.4396,1.4389,1.4532,1.5220,1.5420
27740.00000000,0.29101E-02,0.26422E-01,0.82735E-01,0.10738,1.6320,1.6364,1.6604,1.7380,1.7610
29200.00000000,0.36680E-02,0.33545E-01,0.10410,0.13699,1.8042,1.8140,1.8473,1.9329,1.9591
30660.00000000,0.45144E-02,0.41359E-01,0.12682,0.16938,1.9534,1.9694,2.0099,2.1015,2.1302
32120.00000000,0.54209E-02,0.49585E-01,0.15007,0.20356,2.0885,2.1104,2.1575,2.2545,2.2856
33580.00000000,0.62434E-02,0.57479E-01,0.17202,0.23727,2.2058,2.2334,2.2872,2.3874,2.4199
35040.00000000,0.71391E-02,0.65641E-01,0.19368,0.27143,2.3054,2.3385,2.3977,2.5011,2.5351
36500.00000000,0.79288E-02,0.73157E-01,0.21347,0.30395,2.3906,2.4288,2.4921,2.5969,2.6319
